timestamp,camera_id,violations,severity
12-01-2026 20:41,TEST_CAM,TEST_VIOLATION,TEST
12-01-2026 20:46,FORCE_TEST,FORCED_FROM_MAIN,FORCE
06-02-2026 13:33,CAM_VIDEO,"NO_HELMET,NO_HARNESS,CRITICAL_VIOLATION",CRITICAL_ALERT
06-02-2026 13:33,CAM_VIDEO,"NO_HELMET,NO_HARNESS,CRITICAL_VIOLATION",CRITICAL_ALERT
06-02-2026 13:33,CAM_VIDEO,"NO_HELMET,NO_HARNESS,CRITICAL_VIOLATION",CRITICAL_ALERT
06-02-2026 13:33,CAM_VIDEO,"NO_HELMET,NO_HARNESS,CRITICAL_VIOLATION",CRITICAL_ALERT
06-02-2026 13:33,CAM_VIDEO,"NO_HELMET,NO_HARNESS,CRITICAL_VIOLATION",CRITICAL_ALERT
06-02-2026 13:33,CAM_VIDEO,"NO_HELMET,NO_HARNESS,CRITICAL_VIOLATION",CRITICAL_ALERT
06-02-2026 13:33,CAM_VIDEO,"NO_HELMET,NO_HARNESS,CRITICAL_VIOLATION",CRITICAL_ALERT
06-02-2026 13:33,CAM_VIDEO,"NO_HELMET,NO_HARNESS,CRITICAL_VIOLATION",CRITICAL_ALERT
06-02-2026 13:33,CAM_VIDEO,"NO_HELMET,NO_HARNESS,CRITICAL_VIOLATION",CRITICAL_ALERT
06-02-2026 13:33,CAM_VIDEO,"NO_HELMET,NO_HARNESS,CRITICAL_VIOLATION",CRITICAL_ALERT
06-02-2026 13:33,CAM_VIDEO,"NO_HELMET,NO_HARNESS,CRITICAL_VIOLATION",CRITICAL_ALERT
06-02-2026 13:33,CAM_VIDEO,"NO_HELMET,NO_HARNESS,CRITICAL_VIOLATION",CRITICAL_ALERT
06-02-2026 13:33,CAM_VIDEO,"NO_HELMET,NO_HARNESS,CRITICAL_VIOLATION",CRITICAL_ALERT
06-02-2026 13:33,CAM_VIDEO,"NO_HELMET,NO_HARNESS,CRITICAL_VIOLATION",CRITICAL_ALERT
06-02-2026 13:33,CAM_VIDEO,"NO_HELMET,NO_HARNESS,CRITICAL_VIOLATION",CRITICAL_ALERT
06-02-2026 13:33,CAM_VIDEO,"NO_HELMET,NO_HARNESS,CRITICAL_VIOLATION",CRITICAL_ALERT
06-02-2026 13:33,CAM_VIDEO,"NO_HELMET,NO_HARNESS,CRITICAL_VIOLATION",CRITICAL_ALERT
06-02-2026 13:33,CAM_VIDEO,"NO_HELMET,NO_HARNESS,CRITICAL_VIOLATION",CRITICAL_ALERT
06-02-2026 13:33,CAM_VIDEO,"NO_HELMET,NO_HARNESS,CRITICAL_VIOLATION",CRITICAL_ALERT
06-02-2026 13:33,CAM_VIDEO,"NO_HELMET,NO_HARNESS,CRITICAL_VIOLATION",CRITICAL_ALERT
06-02-2026 13:33,CAM_VIDEO,"NO_HELMET,NO_HARNESS,CRITICAL_VIOLATION",CRITICAL_ALERT
06-02-2026 13:33,CAM_VIDEO,"NO_HARNESS,CRITICAL_VIOLATION",CRITICAL_ALERT
06-02-2026 13:33,CAM_VIDEO,"NO_HELMET,NO_HARNESS,CRITICAL_VIOLATION",CRITICAL_ALERT
06-02-2026 13:33,CAM_VIDEO,"NO_HELMET,NO_HARNESS,CRITICAL_VIOLATION",CRITICAL_ALERT
